NL description,RE,"difficulty level (simple, medium, complex)",
a and b alternate.,b?(ab)*a?,medium,
The number of a¡¯s is divisible by 3,(b*ab*ab*ab*)*,medium,
Does not end with ab,((a|b)*((aa)|(ba)|(bb)))|((a|b)?),complex,
Does not end with ba and the length is at least two.,(a|b)*((aa)|(ab)|(bb)),complex,
Does not contain aba as a substring.,(b|aa*bb)*((aa*(b?))?),medium,
Does not contain baa as a substring.,a*(ba|b)*,medium,
The 5th symbol from the right end is b.,(a|b)*b(a|b)(a|b)(a|b)(a|b),simple,
Begins with a and ends with b.,a(a|b)*b,simple,
Start with a and have odd length or start with b and have even length.,(a(a|b)(a|b)*)|(b(a|b)(a|b)(a|b)*),complex,
"Start with a or b, followed by a¡¯s",(a|b)a*,simple,
Sequence of a's or sequence of b's followed by sequence of a's,b*a*,simple,
"Same number of occurances of ""ab"" and ""ba""",(a(a*|b+a)*)|(b(b*|a+b)*),complex,
Contains the substring bab.,(a|b)*(bab)(a|b)*,simple,
Even number of b¡¯s.,(a*ba*ba*)*|a*,medium,
Odd number of b¡¯s.,(a*ba*b)*a*ba*,medium,
Contains baa and ends with b.,(a|b)*baa(a|b)*b,simple,
Even number of a¡¯s and each a is followed by at least one b.,b*(abb*abb*)*,complex,
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),complex,
Contains less than three a¡¯s.,b*a?b*a?b*,medium,
"Repeat ¡°b¡± or ¡°ab¡± x times, ending with at most one ¡°a¡± (x >= 0)",(b|ab)*(a?),simple,
Has exactly one pair of consecutive a¡¯s,((ab)|b)*aa((ba)|b)*,simple,
Every pair of adjacent a¡¯s appears before any pair of adjacent b¡¯s,(a|(ba))*(b|(ab))*a?,medium,
At most one pair of consecutive b¡¯s.,(a|(ba))*(bb)?(a|(ab))*,complex,
Every a followed by at least one a.,(a?b)*,medium,
Every odd position is b.,(b((a|b)b)*(a|b)?)?,complex,
Every b followed by two or more a's,(a|baa)*,simple,
"Start with tt least one a, ended with one b",a+b,simple,
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),complex,
anbm where n ¡İ 3 and m is even,aaaa*(bb)*,simple,
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,simple,
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,simple,
Any strings except a and b.,(((a|b)(a|b))(a|b)*)?,complex,
